BACKUP DE USUARIOS GENÉRICOS - 2025-09-17 09:43:10
================================================================================

Usuario: Usuario_3
ID BD: 229
Biométrico ID: 3
Estación: Iberia
Total registros: 58
  - 2024-07-16 16:52:47+00:00 | NQS8 | Status: 15
  - 2024-12-09 22:34:45+00:00 | Iberia | Status: 15
  - 2024-12-09 22:42:00+00:00 | Iberia | Status: 15
  - 2024-12-09 22:44:23+00:00 | Iberia | Status: 15
  - 2024-12-10 10:40:18+00:00 | Iberia | Status: 15
  - 2024-12-10 10:45:17+00:00 | Iberia | Status: 15
  - 2024-12-10 20:56:31+00:00 | Iberia | Status: 15
  - 2024-12-12 12:15:57+00:00 | Iberia | Status: 15
  - 2024-12-14 10:27:01+00:00 | Iberia | Status: 15
  - 2025-01-07 11:06:11+00:00 | Iberia | Status: 15
  - 2025-01-07 20:49:54+00:00 | Iberia | Status: 15
  - 2025-01-11 14:28:28+00:00 | Iberia | Status: 15
  - 2025-07-30 14:51:52+00:00 | NQS8 | Status: 15
  - 2025-08-04 10:57:27+00:00 | NQS8 | Status: 15
  - 2025-08-04 11:06:09+00:00 | NQS8 | Status: 15
  - 2025-08-04 11:09:44+00:00 | NQS8 | Status: 15
  - 2025-08-04 11:11:05+00:00 | NQS8 | Status: 15
  - 2025-08-05 10:49:00+00:00 | NQS8 | Status: 15
  - 2025-08-05 19:03:56+00:00 | NQS8 | Status: 15
  - 2025-08-06 18:49:16+00:00 | NQS8 | Status: 15
  - 2025-08-06 18:50:55+00:00 | NQS8 | Status: 15
  - 2025-08-06 18:54:38+00:00 | NQS8 | Status: 15
  - 2025-08-09 16:04:11+00:00 | NQS8 | Status: 15
  - 2025-08-09 16:05:20+00:00 | NQS8 | Status: 15
  - 2025-08-09 16:06:33+00:00 | NQS8 | Status: 15
  - 2025-08-12 11:13:59+00:00 | NQS8 | Status: 15
  - 2025-08-27 10:51:48+00:00 | Iberia | Status: 15
  - 2025-08-29 17:52:35+00:00 | NQS8 | Status: 15
  - 2025-08-29 18:04:03+00:00 | NQS8 | Status: 15
  - 2025-08-29 18:39:10+00:00 | Iberia | Status: 15
  - 2025-08-30 11:06:16+00:00 | Iberia | Status: 15
  - 2025-09-01 10:51:18+00:00 | Iberia | Status: 15
  - 2025-09-01 21:36:30+00:00 | Iberia | Status: 15
  - 2025-09-02 10:58:20+00:00 | Iberia | Status: 15
  - 2025-09-03 10:56:13+00:00 | Iberia | Status: 15
  - 2025-09-03 11:19:38+00:00 | Iberia | Status: 15
  - 2025-09-03 21:23:10+00:00 | Iberia | Status: 15
  - 2025-09-04 11:01:18+00:00 | Iberia | Status: 15
  - 2025-09-05 11:12:34+00:00 | Iberia | Status: 15
  - 2025-09-05 21:53:31+00:00 | Iberia | Status: 15
  - 2025-09-08 10:55:16+00:00 | NQS8 | Status: 15
  - 2025-09-08 11:12:24+00:00 | Iberia | Status: 15
  - 2025-09-08 21:31:17+00:00 | Iberia | Status: 15
  - 2025-09-09 10:53:14+00:00 | NQS8 | Status: 15
  - 2025-09-09 11:00:33+00:00 | Iberia | Status: 15
  - 2025-09-09 18:44:44+00:00 | NQS8 | Status: 15
  - 2025-09-09 21:45:16+00:00 | Iberia | Status: 15
  - 2025-09-10 11:45:39+00:00 | NQS8 | Status: 15
  - 2025-09-10 12:04:58+00:00 | Iberia | Status: 15
  - 2025-09-10 17:36:29+00:00 | NQS8 | Status: 15
  - 2025-09-10 19:08:51+00:00 | NQS8 | Status: 15
  - 2025-09-10 19:38:01+00:00 | NQS8 | Status: 15
  - 2025-09-10 22:28:01+00:00 | Iberia | Status: 15
  - 2025-09-11 12:02:28+00:00 | NQS8 | Status: 15
  - 2025-09-11 22:29:20+00:00 | Iberia | Status: 15
  - 2025-09-11 22:40:39+00:00 | NQS8 | Status: 15
  - 2025-09-12 12:15:47+00:00 | Iberia | Status: 15
  - 2025-09-12 17:48:41+00:00 | NQS8 | Status: 15

----------------------------------------

Usuario: Usuario_5
ID BD: 230
Biométrico ID: 5
Estación: Iberia
Total registros: 41
  - 2024-07-16 16:54:44+00:00 | NQS8 | Status: 15
